Name,Street,Zip Code,Address
EDEKA,Badstr. 37,8648, Bad Brambach
EDEKA Schuldes,Elsterstr. 51,8626, Adorf
EDEKA Färber,Am Schulplatz 5,8248, Klingenthal
EDEKA,Auerbacher Str. 31,8248, Klingenthal
EDEKA Gruhle,Grabenstr. 26,8606, Oelsnitz
EDEKA,Poststr. 1,7356, Bad Lobenstein
EDEKA,Am Alten Huegel 1-2,7356, Bad Lobenstein
EDEKA,Breite Str. 2,7349, Lehesten (Thüringer Wald)
EDEKA,Kirchplatz 5,7929, Saalburg-Ebersdorf
EDEKA Kadelke,Falkensteiner Str. 54,8239, Bergen
EDEKA,Neundorfer Str. 25,8523, Plauen
EDEKA,Bahnhofstr. 10,8223, Falkenstein
EDEKA Kadelke,Paul-Popp-Str. 6a,8223, Falkenstein
EDEKA Kadelke,Goeltzschtalstr. 81,8209, Auerbach
EDEKA,Angerstr. 39 A,8304, Schönheide
EDEKA,Geraer Str. 21 B,7907, Schleiz
EDEKA,Karlsbader Str. 1,8309, Eibenstock
EDEKA,Bergstr. 1 A,8543, Jocketa
EDEKA Küllig,Bahnhofstr. 8-10,9484, Kurort Oberwiesenthal
EDEKA,Talstr. 4c,8359, Antonsthal
EDEKA Höfer,Zwickauer Str. 8,8485, Lengenfeld
EDEKA,Karlsbader Straße,8321, Zschorlau
EDEKA Smettana,Am Lindengarten 6,8340, Schwarzenberg /Erzgeb.
EDEKA,Annaberger Str. 28,9474, Crottendorf
EDEKA,Neustädter Ring 2,8340, Schwarzenberg
EDEKA,Poeßnecker Str. 38,7387, Kroelpa
EDEKA Landmann,Auerstr. 2,8312, Lauter
EDEKA Landmann,Auerstr. 2,8315, Lauter
EDEKA Vollmer,Werkstr. 5,7426, Koenigssee
EDEKA,Werkstr. 4,7429, Königsee
EDEKA,Marienstr. 1 - 5,7973, Greiz
EDEKA,Lauterer Str. 48,8315, Bernsbach
EDEKA,Wettiner Str. 4,8280, Aue
EDEKA Kadelke,Lengenfelder Str. 41,8107, Kirchberg
EDEKA,Th.-Müntzer-Str. 33 A,8289, Schneeberg
EDEKA,Dr.-Otto-Nuschke-Str. 7,8280, Aue
EDEKA Winter,Schneeberger Str. 58,8294, Loeßnitz
EDEKA Bachmann,Gartenstr. 16-18,7407, Rudolstadt
EDEKA,Markt 6,7958, Hohenleuben
Raupach,Kirchberger Str. 5,8112, Wilkau-Haßlau
EDEKA,R.-Breitscheid-Str. 11,8062, Zwickau
EDEKA,Rudolf-Breitscheid-Str. 44,8062, Zwickau
EDEKA,Schillerstr. 9 A,8297, Zwönitz
EDEKA,Werdauer Straße,8427, Fraureuth
EDEKA Reichold,Werdauer Str. 71,8427, Fraureuth
EDEKA,Neue Siedlung 10,9477, Steinbach
EDEKA Glässer,B.-Uthmann-Ring 46,9456, Annaberg-Buchholz
EDEKA,Alte Gartenstr. 2,9468, Geyer
EDEKA Meyer,Annaberger Str. 13,9456, Mildenau
EDEKA Feller,Katharinenstr. 44,8056, Zwickau
EDEKA Höfer,Clara-Zetkin-Str. 2,8058, Zwickau
EDEKA Reinhardt,Geraer Str. 40,7570, Weida
EDEKA Nestler,Mühle 2a,9488, Thermalbad Wiesenbad
E aktiv Schmutzler,Am Markt 3,9427, Ehrenfriedersdorf
EDEKA Clausnitzer,Chemnitzer Str. 62,9427, Ehrenfriedersdorf
EDEKA,Hormersdorfer Straße 5,1773, Auerbach
EDEKA Clausnitzer,Hormersdorfer Str. 5,9392, Auerbach
EDEKA,Hohensteiner Str. 6-8,9366, Stollberg
EDEKA,Pflockenstr. 28,9376, Oelsnitz
EDEKA,Anton-Günther-Str. 18 A,9380, Thalheim
EDEKA Niedergesaeß,Anton-Günther-Str. 18a,9390, Thalheim
EDEKA,Zschopauer Str. 16,9419, Herold
EDEKA,Hartensteiner Straße 39,9350, Lichtenstein
EDEKA,Hartensteiner Str. 27,9350, Lichtenstein
EDEKA Pröger,Hauptstr. 104,9430, Drebach
EDEKA Meyer,Johann-Ehrenfried-Wagner-Str. 11,9496, Marienberg
EDEKA,Platanenstr. 4,9356, St. Egidien
EDEKA,Plantanenstr. 4,9350, Lichtenstein
EDEKA Fiedler,Werdauer Str. 32,8451, Crimmitschau
EDEKA,Grüner Weg 1 A,8451, Crimmitschau
EDEKA,Ernst-Grohmann-Str. 2 A,9423, Gelenau
EDEKA Pröger,Untere Hauptstr. 39,9235, Burkhardtsdorf
EDEKA,Obere Hauptstr. 37,9235, Burkhardtsdorf
EDEKA,Reichsstr. 14,7545, Gera-Pforten
EDEKA,D.-Bonhoeffer-Str. 10-14,8371, Glauchau
EDEKA,Am Bahnhof 3,9337, Hohenstein-Ernstthal
EDEKA Weber,Zu Poppschen Gut 1,9526, Olbernhau
EDEKA,August-Bebel-Str. 65,8393, Meerane
EDEKA GEH Hilmersdorf,Freiberger Str. 99-101,9526, Olbernhau
EDEKA,Hauptstr. 76,9434, Krumhermersdorf
EDEKA Woitschig,Hauptstr. 97,9123, Chemnitz-Einsiedel
EDEKA,Einsiedler Hauptstr. 97,9123, Chemnitz
EDEKA,Chemnitzer Str. 93,9224, Chemnitz
EDEKA,Freiberger Str. 12,9514, Lengefeld
EDEKA,Chemnitzer Str. 50 B,9405, Zschopau
EDEKA,Wiesenufer 1,9123, Chemnitz
EDEKA Flößner,Robert-Siewert-Str. 34,9122, Chemnitz-Markersdorf
EDEKA,Kunitzer Str. 1,7749, Jena
E center Raebiger,Paul Bertz Str. 12,9120, Chemnitz
EDEKA,Zwickauer Str. 409,9117, Chemnitz
EDEKA,Zwickauer Str. 409,9131, Chemnitz
EDEKA,S.-Allende-Straße 1,9119, Chemnitz
EDEKA,Dr.-Salvador-Allende-Str. 1,9119, Chemnitz
EDEKA,Mittelstr. 11,7586, Bad Köstritz
EDEKA Einer,Sterzelstr. 10,9117, Chemnitz
EDEKA Görner,Irkutsker Str. 1,9119, Chemnitz
EDEKA Fiedler,Olbernhauer str. 22,9544, Neuhausen
EDEKA,Wartburgstr. 25,9126, Chemnitz
EDEKA König,Bernsdorfer Str. 55,9126, Chemnitz
EDEKA,1hnstr. 76,9126, Chemnitz
EDEKA Zimmermann,Weststr. 77,9116, Chemnitz
EDEKA,Weststr. 77,9112, Chemnitz
EDEKA,Helenenstr. 27,9212, Limbach-Oberfrohna
EDEKA Nagler,Jahnstr. 76,9126, Chemnitz
EDEKA Langer,H.-Ziegler-Str. 3,9127, Chemnitz
EDEKA Rübsam,Flemmingstr. 59,9116, Chemnitz
EDEKA,Carl-von-Ossietzky-Str. 232,9127, Chemnitz-Gablenz
EDEKA,Reichsstr. 58,9112, Chemnitz
EDEKA Heymer,Reichsstr. (Ermafa) 58,9112, Chemnitz
