Name,Street,Zip Code,Address
Globus,Taltitzer Str. 80,8538, Weischlitz
Globus,Äußere Schneeberger Str. 100,8056, Zwickau
Globus,Rodaer Str. 72,7629, Hermsdorf
Globus,An der Beerweinschänke 2,7554, Gera
Globus,Im Neefepark 3,9116, Chemnitz
Globus,Weimarische Str. 3,7751, Jena
Globus,Zeitzer Str. 39,6711, Zeitz
Globus,Nordstr. 1,4416, Markkleeberg
Globus,An der Passage 1,4356, Leipzig-Seehausen
Globus,Dieselstr. 47,6130, Halle (Saale)
Globus,Kamenzer Bogen 1,2977, Hoyerswerda
Globus,Mirabellenstraße 2,17033, Neubrandenburg
Globus,Globusring 1,18184, Roggentin
Globus Markthallen,Ostsee-Park-Straße 3,18069, Lambrechtshagen
Globus,Industriestr. 2,35582, Wetzlar-Dutenhofen
Globus,Otto von Guericke-Straße 2,38122, Braunschweig
Globus,Riemker Straße 13,44809, Bochum-Riemke
GLOBUS Markthalle Castrop-Rauxel,Siemensstraße 10,44579, Castrop-Rauxel
Globus,Haedenkampstraße 21,45143, Essen
Globus,Hafelsstraße,47809, Krefeld
Globus,Berliner Straße 90,47138, Duisburg
Globus Markthallen,Höhenhöfe 19,47918, Tönisvorst
Globus,Rudolf-Diesel-Straße 7,46485, Wesel
Globus,Binger Straße,55457, Gensingen
Globus,Zwischen Wasser 13,55743, Idar-Oberstein
Globus,Argenthaler Straße,55469, Simmern
Globus,Brückenstr. 17,56112, Lahnstein
Globus,Fliehburgstr. 4,56856, Zell-Barl
Globus,Jakob-Caspers-Str. 2,56070, Koblenz
Markthalle Siegen,Eiserfelder Straße 170,57072, Siegen
Globus,Justus-von-Liebig-Straße 4,54516, Wittlich
Globus,Max-Planck-Str. 9,50858, Köln
Globus Bedburg,Bahnstraße 15,50181, Bedburg
Globus,Hambrücker Landstr. 4,68753, Waghäusel
Globus,Speyerer Str. 1,68766, Hockenheim
Globus,Spreewaldallee 44-50,68309, Mannheim
Globus,Oderstr. 6,67071, Ludwigshafen am Rhein
Globus,Adolf-Kolping-Str. 173,67433, Neustadt
Globus,Südring 2,67240, Bobenheim-Roxheim
Globus,Main-Kinzig-Straße,63607, Wächtersbach
Globus,Daimler-Str. 23,67269, Grünstadt
Globus,Industriestr. 6,63477, Maintal
Globus,Am Steinmarkt 1,65428, Rüsselsheim am Main
Globus,Ginnheimer Straße 18,65760, Eschborn
Globus,Heddingheimer Str. 2-4,65795, Hattersheim
Globus,Ostring 2,65205, Wiesbaden
Globus,Merkurstr. 57,67663, Kaiserslautern
Globus,Neunmorgenstraße,66424, Homburg-Einöd
Globus,Margarethe-Bacher-Straße 1,66538, Neunkirchen
Globus,Wolfsau 4,66130, Saarbrücken
Globus,Am Wirthembösch,66606, St. Wendel
Globus,Mundipharma Str. 1,65549, Limburg
Globus Markthalle,Fischbachstraße 121,66125, Saarbrücken-Dudweiler
Globus,Rathausstr. 53,66333, Völklingen
Globus,Dieselstraße,66740, Saarlouis
Globus,Haagstr. 60,66679, Losheim am See
Globus,Siemensstr. 18,84453, Mühldorf a. Inn
Globus,Traunsteiner Str. 6,83395, Freilassing
Globus,Pommernstr. 4,93073, Neutraubling
Globus,Dr.-Walter-Bruch-Str. 1,94447, Plattling
Globus,Am Brunnenfeld 8,92421, Schwandorf
Globus,Willy-Brandt-Allee 1,91301, Forchheim
Globus,Weimarische Str. 117,99098, Erfurt
Globus,Erfurter Str. 72,99095, Erfurt
