Name,Street,Zip Code,Address
real,Hauptstr. 3,1809, Heidenau
real,Nebraer Tor 5,6268, Querfurt
real,Riesapark 4,1587, Riesa
real,Am Bruchsee 1,6122, Halle (Saale)
real,Saarbrücker Str. 1,6188, Peißen
real,Kämmritzer Weg 20,6333, Hettstedt
real,Brielower Landstr. 29,14772, Brandenburg an der Havel
real,Am Müggelpark 10-12,15537, Gosen
real,Messering 10,15234, Frankfurt (Oder)
real,Rostocker Str. 2,16928, Pritzwalk
real,Fischerhofstr. 6,29525, Uelzen
real,Proppstr. 164,28816, Stuhr
real,Neufelder Weg 5,27619, Schiffdorf
real,Mergenthalerstr. 13-21,24223, Schwentinental-Raisdorf
real,Hörnsheimer Eck 2-4,35578, Wetzlar
real,Dornbergsweg 43,38855, Wernigerode
real,Warburger Str. 38,33034, Brakel
real,Olvenstedter Graseweg 37,39128, Magdeburg
real,Elbepark 1,39326, Hermsdorf
real,Konrad-Adenauer-Str. 111,38226, Salzgitter
real,Schäferwiese 15,38239, Salzgitter
real,Werner-von-Siemens-Str. 3,38350, Helmstedt
real,Hehlinger Str. 21,38446, Wolfsburg-Nordsteimke
real,Dieselstr. 20,42389, Wuppertal
real,Zur Fliethe 8,42489, Wülfrath
real,Velberter Str. 38-44,42579, Heiligenhaus
real,Schiessstr. 31,40549, Düsseldorf
real,Am Großmarkt 4,44653, Herne
real,Emscherstr. 37,45891, Gelsenkirchen
real,Thyssenstr. 70,46535, Dinslaken
real,Moerser Str. 221,47475, Kamp-Lintfort
real,Dülmener Str. 39,48653, Coesfeld
real,Wallgraben 12-14,48356, Nordwalde
real,Nahering 3,55218, Ingelheim am Rhein
real,Industriestr. 4,56218, Mülheim-Kärlich
real,Narzissenweg 25,53881, Euskirchen
real,Weißhausstr. 20-30,50939, Köln
real,Vollbrinkstr. 9,58135, Hagen-Haspe
real,Hans-Georg-Weiss-Str. 8,52156, Monschau
real,Boschstr. 4,52531, Übach-Palenberg
real,Prälat-Caire-Str. 7,67071, Ludwigshafen am Rhein
real,Poststr. 1,66450, Bexbach
real,Carl-Zeiss-Str. 2,66740, Saarlouis
"real,-",Eichendorffstr. 51,72622, Nürtingen
"real,-",Röhrer Weg 15+18,71032, Böblingen
real,Heilbergstr. 3,71131, Jettingen
real,Friedrich-List-Str. 10,78727, Oberndorf am Neckar
real,Bregstr. 30,78166, Donaueschingen
real,Stuttgarter Str. 10,76646, Bruchsal
real,Huttenkreuzstr. 8,76275, Ettlingen
real,Ortenbergstr. 8,76135, Karlsruhe
real,Vimbucher Str. 75,77815, Bühl Vimbuch
real,Haslacher Feld 5,83278, Traunstein
"real,-",Nattheimer Str. 100,89520, Heidenheim an der Brenz
real,Franz-Beer-Str. 108,88250, Weingarten
real,Passauer Str. 56,94060, Pocking
real,Holzmannstr. 52,94036, Passau
real,Fuggerstr. 4,92224, Amberg
real,Alte Langdorfer Str. 15,94227, Zwiesel
real,Neustädter Str. 22,92637, Weiden i.d.OPf.
real,Emil-Kemmer-Str. 2,96103, Hallstadt
real,Landhausallee 7,99425, Weimar
real,Gothaer Str. 22,99094, Erfurt
real,Schubertstr. 20,99867, Gotha
